0.81472,0.15761,0.65574,0.70605,0.43874,0.27603,0.75127
0.90579,0.97059,0.035712,0.031833,0.38156,0.6797,0.2551
0.12699,0.95717,0.84913,0.27692,0.76552,0.6551,0.50596
0.91338,0.48538,0.93399,0.046171,0.7952,0.16261,0.69908
0.63236,0.80028,0.67874,0.097132,0.18687,0.119,0.8909
0.09754,0.14189,0.75774,0.82346,0.48976,0.49836,0.95929
0.2785,0.42176,0.74313,0.69483,0.44559,0.95974,0.54722
0.54688,0.91574,0.39223,0.3171,0.64631,0.34039,0.13862
0.95751,0.79221,0.65548,0.95022,0.70936,0.58527,0.14929
0.96489,0.95949,0.17119,0.034446,0.75469,0.22381,0.25751
